,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
723,Nebraska,Douglas,765153.0
724,Alabama,Barbour,758012.0
725,Kentucky,Breathitt,755797.0
726,Texas,Erath,755173.0
727,Ohio,Hamilton,754663.0
728,California,Amador,754020.0
729,Ohio,Butler,751866.0
730,Indiana,Greene,751360.0
731,Texas,Hartley,750194.0
732,Virginia,Sussex,748275.0
733,Illinois,Vermilion,747156.0
734,Indiana,Vanderburgh,746224.0
735,Florida,Broward,745413.0
736,Idaho,Ada,738770.0
737,Illinois,Kane,735627.0
738,New York,Cattaraugus,734391.0
739,Connecticut,Litchfield,733577.0
740,New York,Steuben,732955.0
741,Mississippi,Jefferson Davis,730799.0
742,Missouri,Jefferson,729704.0
743,Alabama,Monroe,729114.0
744,Montana,Powder River,728012.0
745,Florida,Marion,724780.0
746,Oklahoma,Rogers,724752.0
747,West Virginia,Gilmer,721304.0
748,Ohio,Geauga,719957.0
749,West Virginia,Randolph,719236.0
750,Massachusetts,Plymouth,715479.0
751,Mississippi,Marion,712939.0
752,New Mexico,Cibola,712425.0
753,Idaho,Bonner,706783.0
754,Utah,Beaver,705143.0
755,South Carolina,Berkeley,702023.0
756,West Virginia,Roane,700092.0
757,Ohio,Wyandot,697093.0
758,Arkansas,Garland,696370.0
